Static,CollectorName,"ADS"
Static,CollectorVersion,"3.1.0"
Static,CollectorInterval,10
Static,SystemName,"nj3p-ddnbads06b"
Static,IP,"127.0.0.1"
Static,OS,"SunOS 5.10 Generic_147148-26"
Static,Description,"ADS System pending request per ADH Server ID"
Static,LiveStandby,1
Static,TimestampFormat,"%d/%m/%Y %H:%M:%S"
Static,Timestamp,"19/08/2025 00:00:06"
"Timestamp","LiveStandby","Service_0_ServerID_1s_snap","Service_1_ServerID_1s_snap","Service_2_ServerID_1s_snap","Service_3_ServerID_1s_snap","Service_4_ServerID_1s_snap","Service_5_ServerID_1s_snap","Service_6_ServerID_1s_snap","Service_7_ServerID_1s_snap","Service_8_ServerID_1s_snap","Service_9_ServerID_1s_snap","Service_10_ServerID_1s_snap","Service_11_ServerID_1s_snap","Service_12_ServerID_1s_snap","Service_13_ServerID_1s_snap","Service_14_ServerID_1s_snap","Service_15_ServerID_1s_snap","Service_16_ServerID_1s_snap","Service_17_ServerID_1s_snap","Service_18_ServerID_1s_snap","Service_19_ServerID_1s_snap","Service_0_Total_Request_1s_snap","Service_1_Total_Request_1s_snap","Service_2_Total_Request_1s_snap","Service_3_Total_Request_1s_snap","Service_4_Total_Request_1s_snap","Service_5_Total_Request_1s_snap","Service_6_Total_Request_1s_snap","Service_7_Total_Request_1s_snap","Service_8_Total_Request_1s_snap","Service_9_Total_Request_1s_snap","Service_10_Total_Request_1s_snap","Service_11_Total_Request_1s_snap","Service_12_Total_Request_1s_snap","Service_13_Total_Request_1s_snap","Service_14_Total_Request_1s_snap","Service_15_Total_Request_1s_snap","Service_16_Total_Request_1s_snap","Service_17_Total_Request_1s_snap","Service_18_Total_Request_1s_snap","Service_19_Total_Request_1s_snap","Service_0_Pending_Request_1s_peak","Service_1_Pending_Request_1s_peak","Service_2_Pending_Request_1s_peak","Service_3_Pending_Request_1s_peak","Service_4_Pending_Request_1s_peak","Service_5_Pending_Request_1s_peak","Service_6_Pending_Request_1s_peak","Service_7_Pending_Request_1s_peak","Service_8_Pending_Request_1s_peak","Service_9_Pending_Request_1s_peak","Service_10_Pending_Request_1s_peak","Service_11_Pending_Request_1s_peak","Service_12_Pending_Request_1s_peak","Service_13_Pending_Request_1s_peak","Service_14_Pending_Request_1s_peak","Service_15_Pending_Request_1s_peak","Service_16_Pending_Request_1s_peak","Service_17_Pending_Request_1s_peak","Service_18_Pending_Request_1s_peak","Service_19_Pending_Request_1s_peak","Service_0_Pending_Response_1s_peak","Service_1_Pending_Response_1s_peak","Service_2_Pending_Response_1s_peak","Service_3_Pending_Response_1s_peak","Service_4_Pending_Response_1s_peak","Service_5_Pending_Response_1s_peak","Service_6_Pending_Response_1s_peak","Service_7_Pending_Response_1s_peak","Service_8_Pending_Response_1s_peak","Service_9_Pending_Response_1s_peak","Service_10_Pending_Response_1s_peak","Service_11_Pending_Response_1s_peak","Service_12_Pending_Response_1s_peak","Service_13_Pending_Response_1s_peak","Service_14_Pending_Response_1s_peak","Service_15_Pending_Response_1s_peak","Service_16_Pending_Response_1s_peak","Service_17_Pending_Response_1s_peak","Service_18_Pending_Response_1s_peak","Service_19_Pending_Response_1s_peak","Service_0_PendingOut_Timeout_1s_snap","Service_1_PendingOut_Timeout_1s_snap","Service_2_PendingOut_Timeout_1s_snap","Service_3_PendingOut_Timeout_1s_snap","Service_4_PendingOut_Timeout_1s_snap","Service_5_PendingOut_Timeout_1s_snap","Service_6_PendingOut_Timeout_1s_snap","Service_7_PendingOut_Timeout_1s_snap","Service_8_PendingOut_Timeout_1s_snap","Service_9_PendingOut_Timeout_1s_snap","Service_10_PendingOut_Timeout_1s_snap","Service_11_PendingOut_Timeout_1s_snap","Service_12_PendingOut_Timeout_1s_snap","Service_13_PendingOut_Timeout_1s_snap","Service_14_PendingOut_Timeout_1s_snap","Service_15_PendingOut_Timeout_1s_snap","Service_16_PendingOut_Timeout_1s_snap","Service_17_PendingOut_Timeout_1s_snap","Service_18_PendingOut_Timeout_1s_snap","Service_19_PendingOut_Timeout_1s_snap"
"19/08/2025 00:00:06",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277041266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:00:16",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277042171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:00:26",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277046812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:00:36",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277051395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:00:46",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277051612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:00:56",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277051645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:01:06",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277051650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:01:16",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277055599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
"19/08/2025 00:01:26",1,2460,2481,2466,2464,2470,2462,2495,2497,2472,2491,2474,2487,2483,2493,2485,2476,3286,3287,1365,45004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2277056680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424
